organism_name	infraspecific_name	assembled_genome_acc	genome_assembly_id	lineage	taxonomy_id	bco_id	schema_version	analysis_platform	analysis_platform_object_id	assembly_file_source	genomic_section	num_chromosomes	num_genes	num_segments 	assembly_gc_content	length	num_of_frameshifts	num_of_stop_codons	genome_coverage	n50 	n75	n90	l50 	l75	ref_genome_acc	query_coverage_against_reference	reference_coverage_against_query	percent_identity_against_reference	percent_reads_unaligned	assembly_level	assembly_score
Salmonella enterica (enterobacteria)	Strain: FDAARGOS_1066	NZ_CP066047.1	GCA_016127835.1	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	28901	ARGOS_000012	v1.4	HIVE2	54091	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/127/835/GCF_016127835.1_ASM1612783v1/	Chromosome				52.17	4677108				4677108	4677108		1	1	NZ_CP014051.2	96	92	99.15		Complete Genome	23
Salmonella enterica (enterobacteria)	Strain: FDAARGOS_1066	NZ_CP066048.1	GCA_016127835.1	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	28901	ARGOS_000012	v1.4	HIVE2	54091	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/127/835/GCF_016127835.1_ASM1612783v1/	Plasmid				51.96	59372				59372	59372		1	1	NZ_CP014050.2	97	61	99.43		Complete Genome	23
Salmonella enterica (enterobacteria)	Strain: FDAARGOS_1067	NZ_CP066009.1	GCA_016127435.1	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	28901	ARGOS_000012	v1.4	HIVE2	54098	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/127/435/GCF_016127435.1_ASM1612743v1/	Chromosome				52.18	4878004				4878004	4878004		1	1	NZ_CP014051.2	98	99	99.98		Complete Genome	23
Salmonella enterica (enterobacteria)	Strain: FDAARGOS_1067	NZ_CP066008.1	GCA_016127435.1	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	28901	ARGOS_000012	v1.4	HIVE2	54098	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/127/435/GCF_016127435.1_ASM1612743v1/	Plasmid				60.98	8688				8688	8688		1	1	NZ_CP014050.2					Complete Genome	20
Salmonella enterica (enterobacteria)	Strain: FDAARGOS_1067	NZ_CP066010.1	GCA_016127435.1	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	28901	ARGOS_000012	v1.4	HIVE2	54098	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/127/435/GCF_016127435.1_ASM1612743v1/	Plasmid				50.19	86768				86768	86768		1	1	NZ_CP014050.2	3	2	81.64		Complete Genome	23
Salmonella enterica (enterobacteria)	Strain: FDAARGOS_1067	NZ_CP066011.1	GCA_016127435.1	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	28901	ARGOS_000012	v1.4	HIVE2	54098	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/127/435/GCF_016127435.1_ASM1612743v1/	Plasmid				53.11	93851				93851	93851		1	1	NZ_CP014050.2	99	99	99.40		Complete Genome	23
Salmonella enterica (enterobacteria)	Strain: FDAARGOS_1271	NZ_CP069518.1	GCA_016889645.1	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	28901	ARGOS_000012	v1.4	HIVE2	54109	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/889/645/GCF_016889645.1_ASM1688964v1/	Chromosome				52.24	4675929				4675929	4675929		1	1	NZ_CP014051.2	93	89	98.19		Complete Genome	23
Salmonella enterica (enterobacteria)	Strain: FDAARGOS_1271	NZ_CP069519.1	GCA_016889645.1	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	28901	ARGOS_000012	v1.4	HIVE2	54109	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/889/645/GCF_016889645.1_ASM1688964v1/	Plasmid				50.67	128163				128163	128163		1	1	NZ_CP014050.2					Complete Genome	20
Yersinia pestis CO92 (enterobacteria)	Strain: CO92	NC_003143.1	GCA_000009065.1	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex; Yersinia pestis	632	ARGOS_000012	v1.4	HIVE2	54116	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/065/GCF_000009065.1_ASM906v1/	Chromosome				47.64	4653728				4653728	4653728		1	1	NC_003143.1	100	100	100.00		Complete Genome	23
Yersinia pestis CO92 (enterobacteria)	Strain: CO92	NC_003131.1	GCA_000009065.1	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex; Yersinia pestis	632	ARGOS_000012	v1.4	HIVE2	54116	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/065/GCF_000009065.1_ASM906v1/	Plasmid pCD1				44.84	70305				70305	70305		1	1	NC_003131.1	100	100	100.00		Complete Genome	23
Yersinia pestis CO92 (enterobacteria)	Strain: CO92	NC_003134.1	GCA_000009065.1	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex; Yersinia pestis	632	ARGOS_000012	v1.4	HIVE2	54116	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/065/GCF_000009065.1_ASM906v1/	Plasmid pMT1				50.23	96210				96210	96210		1	1	NC_003134.1	100	100	100.00		Complete Genome	23
Yersinia pestis CO92 (enterobacteria)	Strain: CO92	NC_003132.1	GCA_000009065.1	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex; Yersinia pestis	632	ARGOS_000012	v1.4	HIVE2	54116	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/065/GCF_000009065.1_ASM906v1/	Plasmid pPCP1				45.27	9612				9612	9612		1	1	NC_003132.1	100	100	100.00		Complete Genome	23
Yersinia enterocolitica (enterobacteria)	Strain: FDAARGOS_1090	NZ_CP068147.1	GCA_016727905.1	cellular organisms; Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	630	ARGOS_000012	v1.4	HIVE2	53624	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/727/905/GCF_016727905.1_ASM1672790v1/	Chromosome				46.97	4593248				4593248	4593248		1	1	NC_003143.1	53	52	97.53	0.23	Complete Genome	24
Severe acute respiratory syndrome coronavirus 2 	Omicron/XBB.1.5	FA01SRR23238509	FA01SRR23238509	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome coronavirus 2	2697049	ARGOS_000012	v1.4	HIVE2	55572	https://data.argosdb.org/	Chromosome	1			37.88	29812	1	66		29812	29812		1	1	NC_045512.2	100	99	99.51	0.26	Complete Genome	27
Marburg marburgvirus	FDAARGOS_1170	FA02SRR17261988	FA02SRR17261988	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Marburgvirus	11269	ARGOS_000012	v1.4	HIVE2	55907	https://data.argosdb.org/	Chromosome	1			38.48	19061				19061	19061		1	1	NC_001608.3	100	99	99.95	1.46	Complete Genome	25
Yersinia enterocolitica	FDAARGOS_1082	NZ_CP068146.1	GCA_016727765.1	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	630	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/727/765/GCF_016727765.1_ASM1672776v1/	Chromosome	1			47.03	4541280				4541280	4541280		1	1	NC_003143.1	53	97.51	51.00	2.11	Complete Genome	24
Yersinia enterocolitica	FDAARGOS_1082	NZ_CP068146.1	GCA_016727765.1	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	630	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/727/765/GCF_016727765.1_ASM1672776v1/	Plasmid				47.03	4541280				4541280	4541280		1	1	NC_003131.1	0	86.81	51.00	2.11	Complete Genome	23
Yersinia enterocolitica	FDAARGOS_1082	NZ_CP068146.1	GCA_016727765.1	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	630	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/727/765/GCF_016727765.1_ASM1672776v1/	Plasmid				47.03	4541280				4541280	4541280		1	1	NC_003134.1	0	79.75	51.00	2.11	Complete Genome	23
Yersinia enterocolitica	FDAARGOS_1082	NZ_CP068146.1	GCA_016727765.1	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	630	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/727/765/GCF_016727765.1_ASM1672776v1/	Plasmid				47.03	4541280				4541280	4541280		1	1	NC_003132.1				2.11	Complete Genome	20
Yersinia enterocolitica	FDAARGOS_357	NZ_NJFX02000001.1	GCA_002554625.2	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	630	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/554/625/GCF_002554625.2_ASM255462v2/	Chromosome				47.08	4804411				4804411	4804411		1	1	NC_003143.1	51	97.61	53.00	2.59	Contig	23
Yersinia enterocolitica	FDAARGOS_357	NZ_NJFX02000001.1	GCA_002554625.2	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	630	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/554/625/GCF_002554625.2_ASM255462v2/	Plasmid				47.08	4804411				4804411	4804411		1	1	NC_003131.1	0	98.96	53.00	2.59	Contig	23
Yersinia enterocolitica	FDAARGOS_357	NZ_NJFX02000001.1	GCA_002554625.2	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	630	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/554/625/GCF_002554625.2_ASM255462v2/	Plasmid				47.08	4804411				4804411	4804411		1	1	NC_003134.1				2.59	Contig	20
Yersinia enterocolitica	FDAARGOS_357	NZ_NJFX02000001.1	GCA_002554625.2	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	630	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/554/625/GCF_002554625.2_ASM255462v2/	Plasmid				47.08	4804411				4804411	4804411		1	1	NC_003132.1				2.59	Contig	20
Yersinia enterocolitica	FDAARGOS_227	NZ_NBTC02000001.1	GCA_002082245.2	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	630	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/082/245/GCF_002082245.2_ASM208224v2/	Chromosome				47.47	5073749				4835141	4835141		1	1	NC_003143.1				1.91	Contig, anomalous	20
Yersinia enterocolitica	FDAARGOS_227	NZ_NBTC02000002.1	GCA_002082245.2	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	630	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/082/245/GCF_002082245.2_ASM208224v2/	Plasmid				47.47	5073749				4835141	4835141		1	1	NC_003131.1				1.91	Contig, anomalous	20
Yersinia enterocolitica	FDAARGOS_227	NZ_NBTC02000001.1	GCA_002082245.2	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	630	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/082/245/GCF_002082245.2_ASM208224v2/	Plasmid				47.47	5073749				4835141	4835141		1	1	NC_003134.1				1.91	Contig, anomalous	20
Yersinia enterocolitica	FDAARGOS_227	NZ_NBTC02000002.1	GCA_002082245.2	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	630	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/082/245/GCF_002082245.2_ASM208224v2/	Plasmid				47.47	5073749				4835141	4835141		1	1	NC_003132.1				1.91	Contig, anomalous	20
Yersinia enterocolitica	FDAARGOS_226	NZ_NBTD02000001.1	GCA_002082275.2	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	630	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/082/275/GCF_002082275.2_ASM208227v2/	Chromosome				47.29	4528896				4528896	4528896		1	1	NC_003143.1	54	98.04	53.00	2.78	Contig	23
Yersinia enterocolitica	FDAARGOS_226	NZ_NBTD02000001.1	GCA_002082275.2	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	630	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/082/275/GCF_002082275.2_ASM208227v2/	Plasmid				47.29	4528896				4528896	4528896		1	1	NC_003131.1	0	97.16	53.00	2.78	Contig	23
Yersinia enterocolitica	FDAARGOS_226	NZ_NBTD02000001.1	GCA_002082275.2	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	630	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/082/275/GCF_002082275.2_ASM208227v2/	Plasmid				47.29	4528896				4528896	4528896		1	1	NC_003134.1	0	94.02	53.00	2.78	Contig	23
Yersinia enterocolitica	FDAARGOS_226	NZ_NBTD02000001.1	GCA_002082275.2	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	630	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/082/275/GCF_002082275.2_ASM208227v2/	Plasmid				47.29	4528896				4528896	4528896		1	1	NC_003132.1				2.78	Contig	20
Yersinia enterocolitica	FDAARGOS_225	NZ_NBTE02000001.1	GCA_002083285.2	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	630	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/083/285/GCF_002083285.2_ASM208328v2/	Chromosome				47.3	4615924				3944295	3944295		1	1	NC_003143.1	55	98.02	47.00	2.01	Contig	23
Yersinia enterocolitica	FDAARGOS_225	NZ_NBTE02000002.1	GCA_002083285.2	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	630	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/083/285/GCF_002083285.2_ASM208328v2/	Plasmid				47.3	4615924				3944295	3944295		1	1	NC_003131.1	0	97.24	47.00	2.01	Contig	23
Yersinia enterocolitica	FDAARGOS_225	NZ_NBTE02000003.1	GCA_002083285.2	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	630	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/083/285/GCF_002083285.2_ASM208328v2/	Plasmid				47.3	4615924				3944295	3944295		1	1	NC_003134.1	0	94.02	47.00	2.01	Contig	23
Yersinia enterocolitica	FDAARGOS_225	NZ_NBTE02000004.1	GCA_002083285.2	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	630	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/083/285/GCF_002083285.2_ASM208328v2/	Plasmid				47.3	4615924				3944295	3944295		1	1	NC_003132.1				2.01	Contig	20
Yersinia enterocolitica	FDAARGOS_225	NZ_NBTE02000001.1	GCA_002083285.2	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	630	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/083/285/GCF_002083285.2_ASM208328v2/	Chromosome				47.3	4615924				3944295	3944295		1	1	NC_003143.1	46	85.16	6.00	2.01	Contig	23
Yersinia enterocolitica	FDAARGOS_225	NZ_NBTE02000002.1	GCA_002083285.2	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	630	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/083/285/GCF_002083285.2_ASM208328v2/	Plasmid				47.3	4615924				3944295	3944295		1	1	NC_003131.1	0	96.99	6.00	2.01	Contig	23
Yersinia enterocolitica	FDAARGOS_225	NZ_NBTE02000003.1	GCA_002083285.2	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	630	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/083/285/GCF_002083285.2_ASM208328v2/	Plasmid				47.3	4615924				3944295	3944295		1	1	NC_003134.1				2.01	Contig	20
Yersinia enterocolitica	FDAARGOS_225	NZ_NBTE02000004.1	GCA_002083285.2	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	630	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/083/285/GCF_002083285.2_ASM208328v2/	Plasmid				47.3	4615924				3944295	3944295		1	1	NC_003132.1				2.01	Contig	20
Yersinia enterocolitica	FDAARGOS_225	NZ_NBTE02000001.1	GCA_002083285.2	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	630	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/083/285/GCF_002083285.2_ASM208328v2/	Chromosome				47.3	4615924				3944295	3944295		1	1	NC_003143.1	42	80.14	0.00	2.01	Contig	23
Yersinia enterocolitica	FDAARGOS_225	NZ_NBTE02000002.1	GCA_002083285.2	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	630	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/083/285/GCF_002083285.2_ASM208328v2/	Plasmid				47.3	4615924				3944295	3944295		1	1	NC_003131.1			0.00	2.01	Contig	21
Yersinia enterocolitica	FDAARGOS_225	NZ_NBTE02000003.1	GCA_002083285.2	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	630	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/083/285/GCF_002083285.2_ASM208328v2/	Plasmid				47.3	4615924				3944295	3944295		1	1	NC_003134.1			0.00	2.01	Contig	21
Yersinia enterocolitica	FDAARGOS_225	NZ_NBTE02000004.1	GCA_002083285.2	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	630	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/083/285/GCF_002083285.2_ASM208328v2/	Plasmid				47.3	4615924				3944295	3944295		1	1	NC_003132.1			0.00	2.01	Contig	21
Yersinia enterocolitica	FDAARGOS_225	NZ_NBTE02000001.1	GCA_002083285.2	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	630	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/083/285/GCF_002083285.2_ASM208328v2/	Chromosome				47.3	4615924				3944295	3944295		1	1	NC_003143.1				2.01	Contig	20
Yersinia enterocolitica	FDAARGOS_225	NZ_NBTE02000002.1	GCA_002083285.2	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	630	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/083/285/GCF_002083285.2_ASM208328v2/	Plasmid				47.3	4615924				3944295	3944295		1	1	NC_003131.1				2.01	Contig	20
Yersinia enterocolitica	FDAARGOS_225	NZ_NBTE02000003.1	GCA_002083285.2	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	630	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/083/285/GCF_002083285.2_ASM208328v2/	Plasmid				47.3	4615924				3944295	3944295		1	1	NC_003134.1				2.01	Contig	20
Yersinia enterocolitica	FDAARGOS_225	NZ_NBTE02000004.1	GCA_002083285.2	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	630	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/083/285/GCF_002083285.2_ASM208328v2/	Plasmid				47.3	4615924				3944295	3944295		1	1	NC_003132.1				2.01	Contig	20
Yersinia frederiksenii	FDAARGOS_418	NZ_CP023964.1	GCA_002591195.1	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	29484	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/591/195/GCF_002591195.1_ASM259119v1/	Chromosome				46.98	4934031				4934031	4934031		1	1	NC_003143.1	49	97.6	52.00	2.98	Complete Genome	23
Yersinia frederiksenii	FDAARGOS_418	NZ_CP023964.1	GCA_002591195.1	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	29484	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/591/195/GCF_002591195.1_ASM259119v1/	Plasmid				46.98	4934031				4934031	4934031		1	1	NC_003131.1	0	84.86	52.00	2.98	Complete Genome	23
Yersinia frederiksenii	FDAARGOS_418	NZ_CP023964.1	GCA_002591195.1	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	29484	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/591/195/GCF_002591195.1_ASM259119v1/	Plasmid				46.98	4934031				4934031	4934031		1	1	NC_003134.1				2.98	Complete Genome	20
Yersinia frederiksenii	FDAARGOS_418	NZ_CP023964.1	GCA_002591195.1	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	29484	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/591/195/GCF_002591195.1_ASM259119v1/	Plasmid				46.98	4934031				4934031	4934031		1	1	NC_003132.1				2.98	Complete Genome	20
Yersinia frederiksenii	FDAARGOS_417	NZ_CP023962.1	GCA_002591095.1	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	29484	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/591/095/GCF_002591095.1_ASM259109v1/	Chromosome				47.64	5000678				5000678	5000678		1	1	NC_003143.1	46	97.59	49.00	2.58	Complete Genome	23
Yersinia frederiksenii	FDAARGOS_417	NZ_CP023962.1	GCA_002591095.1	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	29484	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/591/095/GCF_002591095.1_ASM259109v1/	Plasmid				47.64	5000678				5000678	5000678		1	1	NC_003131.1				2.58	Complete Genome	20
Yersinia frederiksenii	FDAARGOS_417	NZ_CP023962.1	GCA_002591095.1	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	29484	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/591/095/GCF_002591095.1_ASM259109v1/	Plasmid				47.64	5000678				5000678	5000678		1	1	NC_003134.1				2.58	Complete Genome	20
Yersinia frederiksenii	FDAARGOS_417	NZ_CP023962.1	GCA_002591095.1	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	29484	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/591/095/GCF_002591095.1_ASM259109v1/	Plasmid				47.64	5000678				5000678	5000678		1	1	NC_003132.1				2.58	Complete Genome	20
Yersinia frederiksenii	FDAARGOS_729	NZ_CP046294.1	GCA_009730075.1	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	29484	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/730/075/GCF_009730075.1_ASM973007v1/	Chromosome				47.58	4928916				4928916	4928916		1	1	NC_003143.1	49	97.89	52.00	3.57	Complete Genome	23
Yersinia frederiksenii	FDAARGOS_729	NZ_CP046294.1	GCA_009730075.1	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	29484	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/730/075/GCF_009730075.1_ASM973007v1/	Plasmid				47.58	4928916				4928916	4928916		1	1	NC_003131.1				3.57	Complete Genome	20
Yersinia frederiksenii	FDAARGOS_729	NZ_CP046294.1	GCA_009730075.1	cellular organisms|Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Yersiniaceae|Yersinia	29484	ARGOS_000012	v1.4	HIVEAWS		https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/730/075/GCF_009730075.1_ASM973007v1/	Plasmid				47.58	4928916				4928916	4928916		1	1	NC_003134.1				3.57	Complete Genome	20
