organism_name	lineage	taxonomy_id	bco_id	schema_version	bioproject	biosample	strain	genome_assembly_id	sample_name	instrument	isolate	collected_by	collection_date	geo_loc_name	isolation_source	lat_lon	culture_collection	host	host_age	host_description	host_disease	host_disease_outcome	host_disease_stage	host_health_state	host_sex	id_method	biosample_score
Yersinia enterocolitica	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	630	ARGOS_000020	v1.4	PRJNA231221	SAMN04875563	FDAARGOS_226	GCA_002082275.2	FDAARGOS_226	NA	Not Applicable	USAMRIID	24874	USA:MO	human blood, urine, CSF, and fluid obtained from the anterior chamber of the eye	Not Applicable	FDA:FDAARGOS_226	Homo sapiens	47Y	Schoolteacher admitted because of fever, abdominal pain, chills, stiffness in neck and headache	Petechiae, from anterior chamber of the eye	Patient improved with 200mg per day of colistin administered intramuscularly along with the neomycin, chloramphenicol, and hydrocortisone drop regimen, was left with total loss of vision in the left eye	Left conjunctiva was inflamed, cornea was cloudy, severe photophobia pupil did not react to light	Four months prior to admission, patient had a complete hyserectomy because of large uterine myoma	female	Phenotypic identification	NA
Yersinia enterocolitica	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	630	ARGOS_000020	v1.4	PRJNA231221	SAMN04875563	FDAARGOS_226	GCA_002082275.2	FDAARGOS_226	NA	Not Applicable	USAMRIID	24874	USA:MO	human blood, urine, CSF, and fluid obtained from the anterior chamber of the eye	Not Applicable	FDA:FDAARGOS_226	Homo sapiens	47Y	Schoolteacher admitted because of fever, abdominal pain, chills, stiffness in neck and headache	Petechiae, from anterior chamber of the eye	Patient improved with 200mg per day of colistin administered intramuscularly along with the neomycin, chloramphenicol, and hydrocortisone drop regimen, was left with total loss of vision in the left eye	Left conjunctiva was inflamed, cornea was cloudy, severe photophobia pupil did not react to light	Four months prior to admission, patient had a complete hyserectomy because of large uterine myoma	female	Phenotypic identification	NA
Yersinia enterocolitica	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	630	ARGOS_000020	v1.4	PRJNA231221	SAMN04875562	FDAARGOS_225	GCA_002083285.2	FDAARGOS_225	NA	Not Applicable	USAMRIID < MIDI < DCC < ATCC	1934	USA:NY	human tissue (2 facial abscesses)	Not Applicable	FDA:FDAARGOS_225	Homo sapiens	53Y	Farm dweller	Glanders-like infection of the face who also had involvement of the cervical lymph nodes	Infection responded to X-ray therapy	Missing	Missing	male	Phenotypic identification	NA
Yersinia enterocolitica	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	630	ARGOS_000020	v1.4	PRJNA231221	SAMN04875562	FDAARGOS_225	GCA_002083285.2	FDAARGOS_225	NA	Not Applicable	USAMRIID < MIDI < DCC < ATCC	1934	USA:NY	human tissue (2 facial abscesses)	Not Applicable	FDA:FDAARGOS_225	Homo sapiens	53Y	Farm dweller	Glanders-like infection of the face who also had involvement of the cervical lymph nodes	Infection responded to X-ray therapy	Missing	Missing	male	Phenotypic identification	NA
Yersinia enterocolitica	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	630	ARGOS_000020	v1.4	PRJNA231221	SAMN04875562	FDAARGOS_225	GCA_002083285.2	FDAARGOS_225	NA	Not Applicable	USAMRIID < MIDI < DCC < ATCC	1934	USA:NY	human tissue (2 facial abscesses)	Not Applicable	FDA:FDAARGOS_225	Homo sapiens	53Y	Farm dweller	Glanders-like infection of the face who also had involvement of the cervical lymph nodes	Infection responded to X-ray therapy	Missing	Missing	male	Phenotypic identification	NA
Yersinia frederiksenii	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	29484	ARGOS_000020	v1.4	PRJNA231221	SAMN07312462	FDAARGOS_418	GCA_002591195.1	FDAARGOS_418	NA	Not Applicable	USAMRIID < MIDI < DCC < ATCC	Missing	Denmark	sewage	Not Applicable	FDA:FDAARGOS_418	Environment	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Phenotypic characterization	NA
Yersinia frederiksenii	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	29484	ARGOS_000020	v1.4	PRJNA231221	SAMN07312462	FDAARGOS_418	GCA_002591195.1	FDAARGOS_418	NA	Not Applicable	USAMRIID < MIDI < DCC < ATCC	Missing	Denmark	sewage	Not Applicable	FDA:FDAARGOS_418	Environment	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Phenotypic characterization	NA
Yersinia frederiksenii	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	29484	ARGOS_000020	v1.4	PRJNA231221	SAMN07312461	FDAARGOS_417	GCA_002591095.1	FDAARGOS_417	NA	Not Applicable	USAMRIID < MIDI < DCC < ATCC	Missing	Missing	human	Not Applicable	FDA:FDAARGOS_417	Homo sapiens	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Phenotypic characterization	NA
Yersinia frederiksenii	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	29484	ARGOS_000020	v1.4	PRJNA231221	SAMN07312461	FDAARGOS_417	GCA_002591095.1	FDAARGOS_417	NA	Not Applicable	USAMRIID < MIDI < DCC < ATCC	Missing	Missing	human	Not Applicable	FDA:FDAARGOS_417	Homo sapiens	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Phenotypic characterization	NA
Yersinia intermedia	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	631	ARGOS_000020	v1.4	PRJNA231221	SAMN11056444	FDAARGOS_729	GCA_009730075.1	FDAARGOS_729	NA	Not applicable	Mayo Clinic	Unknown	USA:MN	clinical isolate	Not applicable	FDA:FDAARGOS_729	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Yersinia intermedia	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	631	ARGOS_000020	v1.4	PRJNA231221	SAMN11056444	FDAARGOS_729	GCA_009730075.1	FDAARGOS_729	NA	Not applicable	Mayo Clinic	Unknown	USA:MN	clinical isolate	Not applicable	FDA:FDAARGOS_729	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Yersinia intermedia	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	631	ARGOS_000020	v1.4	PRJNA231221	SAMN11056444	FDAARGOS_729	GCA_009730075.1	FDAARGOS_729	NA	Not applicable	Mayo Clinic	Unknown	USA:MN	clinical isolate	Not applicable	FDA:FDAARGOS_729	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Yersinia intermedia	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	631	ARGOS_000020	v1.4	PRJNA231221	SAMN11056445	FDAARGOS_730	GCA_009730055.1	FDAARGOS_730	NA	Not applicable	Mayo Clinic	Unknown	USA:MN	clinical isolate	Not applicable	FDA:FDAARGOS_730	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Yersinia intermedia	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	631	ARGOS_000020	v1.4	PRJNA231221	SAMN11056445	FDAARGOS_730	GCA_009730055.1	FDAARGOS_730	NA	Not applicable	Mayo Clinic	Unknown	USA:MN	clinical isolate	Not applicable	FDA:FDAARGOS_730	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Yersinia intermedia	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	631	ARGOS_000020	v1.4	PRJNA231221	SAMN11056445	FDAARGOS_730	GCA_009730055.1	FDAARGOS_730	NA	Not applicable	Mayo Clinic	Unknown	USA:MN	clinical isolate	Not applicable	FDA:FDAARGOS_730	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Yersinia intermedia	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	631	ARGOS_000020	v1.4	PRJNA231221	SAMN06173371	FDAARGOS_358	GCA_002983625.1	FDAARGOS_358	NA	Not Applicable	USAMRIID	Missing	Missing	liver tissue	Not Applicable	FDA:FDAARGOS_358	Wildlife	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Phenotypic characterization	NA
Yersinia intermedia	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	631	ARGOS_000020	v1.4	PRJNA231221	SAMN06173371	FDAARGOS_358	GCA_002983625.1	FDAARGOS_358	NA	Not Applicable	USAMRIID	Missing	Missing	liver tissue	Not Applicable	FDA:FDAARGOS_358	Wildlife	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Phenotypic characterization	NA
Yersinia kristensenii	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	28152	ARGOS_000020	v1.4	PRJNA231221	SAMN07312459	FDAARGOS_415	GCA_002554365.1	FDAARGOS_415	NA	Not Applicable	USAMRIID < ATCC < CDC	Missing	Missing	urine	Not Applicable	FDA:FDAARGOS_415	Homo sapiens	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Phenotypic characterization	NA
Yersinia kristensenii	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia	28152	ARGOS_000020	v1.4	PRJNA231221	SAMN07312459	FDAARGOS_415	GCA_002554365.1	FDAARGOS_415	NA	Not Applicable	USAMRIID < ATCC < CDC	Missing	Missing	urine	Not Applicable	FDA:FDAARGOS_415	Homo sapiens	Missing	Missing	Missing	Missing	Missing	Missing	Missing	Phenotypic characterization	NA
Yersinia pestis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex	632	ARGOS_000020	v1.4	PRJNA231221	SAMN10228582	FDAARGOS_602	GCA_003798345.1	FDAARGOS_602	NA	Not applicable	USAMRIID<USSR	1984	USSR	UCC isolate	Not applicable	FDA:FDAARGOS_602	UCC strain	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	not collected	Phenotypic and Molecular Methods	NA
Yersinia pestis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex	632	ARGOS_000020	v1.4	PRJNA231221	SAMN10228582	FDAARGOS_602	GCA_003798345.1	FDAARGOS_602	NA	Not applicable	USAMRIID<USSR	1984	USSR	UCC isolate	Not applicable	FDA:FDAARGOS_602	UCC strain	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	not collected	Phenotypic and Molecular Methods	NA
Yersinia pestis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex	632	ARGOS_000020	v1.4	PRJNA231221	SAMN10228581	FDAARGOS_601	GCA_003798225.1	FDAARGOS_601	NA	Not applicable	USAMRIID< Belgian Congo	1954	Democratic Republic of the Congo	UCC isolate	Not applicable	FDA:FDAARGOS_601	UCC strain	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	not collected	Phenotypic and Molecular Methods	NA
Yersinia pestis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex	632	ARGOS_000020	v1.4	PRJNA231221	SAMN10228581	FDAARGOS_601	GCA_003798225.1	FDAARGOS_601	NA	Not applicable	USAMRIID< Belgian Congo	1954	Democratic Republic of the Congo	UCC isolate	Not applicable	FDA:FDAARGOS_601	UCC strain	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	not collected	Phenotypic and Molecular Methods	NA
Yersinia pestis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex	632	ARGOS_000020	v1.4	PRJNA231221	SAMN10228583	FDAARGOS_603	GCA_003798205.1	FDAARGOS_603	NA	Not applicable	USAMRIID	Unknown	Japan	UCC isolate	Not applicable	FDA:FDAARGOS_603	UCC strain	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	not collected	Phenotypic and Molecular Methods	NA
Yersinia pestis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex	632	ARGOS_000020	v1.4	PRJNA231221	SAMN10228583	FDAARGOS_603	GCA_003798205.1	FDAARGOS_603	NA	Not applicable	USAMRIID	Unknown	Japan	UCC isolate	Not applicable	FDA:FDAARGOS_603	UCC strain	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	not collected	Phenotypic and Molecular Methods	NA
Yersinia pestis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex	632	ARGOS_000020	v1.4	PRJNA231221	SAMN10228584	FDAARGOS_604	GCA_003798085.1	FDAARGOS_604	NA	Not applicable	USAMRIID<Indonesia	1957	Indonesia: Java	environmental	Not applicable	FDA:FDAARGOS_604	Rat	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Phenotypic and Molecular Methods	NA
Yersinia pestis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex	632	ARGOS_000020	v1.4	PRJNA231221	SAMN10228584	FDAARGOS_604	GCA_003798085.1	FDAARGOS_604	NA	Not applicable	USAMRIID<Indonesia	1957	Indonesia: Java	environmental	Not applicable	FDA:FDAARGOS_604	Rat	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Not applicable	Phenotypic and Molecular Methods	NA
Yersinia pestis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex	632	ARGOS_000020	v1.4	PRJNA231221	SAMN10228585	FDAARGOS_605	GCA_003797205.1	FDAARGOS_605	NA	Not applicable	USAMRIID	1969	Bolivia: La Paz	UCC Isolate	Not applicable	FDA:FDAARGOS_605	UCC strain	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	not collected	Phenotypic and Molecular Methods	NA
Yersinia pestis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex	632	ARGOS_000020	v1.4	PRJNA231221	SAMN10228585	FDAARGOS_605	GCA_003797205.1	FDAARGOS_605	NA	Not applicable	USAMRIID	1969	Bolivia: La Paz	UCC Isolate	Not applicable	FDA:FDAARGOS_605	UCC strain	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	not collected	Phenotypic and Molecular Methods	NA
Yersinia pseudotuberculosis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex	633	ARGOS_000020	v1.4	PRJNA231221	SAMN16357216	FDAARGOS_1047	GCA_016535475.1	FDAARGOS_1047	NA	Not applicable	ATCC	Unknown	USA:VA	ATCC Isolate	Not applicable	ATCC:27802D-5	ATCC strain	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Yersinia pseudotuberculosis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex	633	ARGOS_000020	v1.4	PRJNA231221	SAMN16357216	FDAARGOS_1047	GCA_016535475.1	FDAARGOS_1047	NA	Not applicable	ATCC	Unknown	USA:VA	ATCC Isolate	Not applicable	ATCC:27802D-5	ATCC strain	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Yersinia pseudotuberculosis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex	633	ARGOS_000020	v1.4	PRJNA231221	SAMN11056380	FDAARGOS_665	GCA_008693365.1	FDAARGOS_665	NA	Not applicable	University of Louisville	Unknown	USA: KY	clinical isolate	Not applicable	FDA:FDAARGOS_665	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Yersinia pseudotuberculosis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex	633	ARGOS_000020	v1.4	PRJNA231221	SAMN11056380	FDAARGOS_665	GCA_008693365.1	FDAARGOS_665	NA	Not applicable	University of Louisville	Unknown	USA: KY	clinical isolate	Not applicable	FDA:FDAARGOS_665	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	NA
Yersinia pseudotuberculosis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex	633	ARGOS_000020	v1.4	PRJNA231221	SAMN10228559	FDAARGOS_579	GCA_003798305.1	FDAARGOS_579	NA	Not applicable	BEI < JB Bliska	Unknown	France	BEI Isolate	Not applicable	FDA:FDAARGOS_579	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	not collected	Phenotypic and Molecular Methods	NA
Yersinia pseudotuberculosis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex	633	ARGOS_000020	v1.4	PRJNA231221	SAMN10228559	FDAARGOS_579	GCA_003798305.1	FDAARGOS_579	NA	Not applicable	BEI < JB Bliska	Unknown	France	BEI Isolate	Not applicable	FDA:FDAARGOS_579	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	not collected	Phenotypic and Molecular Methods	NA
Yersinia pseudotuberculosis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex	633	ARGOS_000020	v1.4	PRJNA231221	SAMN10228559	FDAARGOS_579	GCA_003798305.1	FDAARGOS_579	NA	Not applicable	BEI < JB Bliska	Unknown	France	BEI Isolate	Not applicable	FDA:FDAARGOS_579	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	not collected	Phenotypic and Molecular Methods	NA
Yersinia pseudotuberculosis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex	633	ARGOS_000020	v1.4	PRJNA231221	SAMN10228563	FDAARGOS_583	GCA_003798285.1	FDAARGOS_583	NA	Not applicable	BEI < JB Bliska	Unknown	France	BEI Isolate	Not applicable	FDA:FDAARGOS_583	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	not collected	Phenotypic and Molecular Methods	NA
Yersinia pseudotuberculosis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex	633	ARGOS_000020	v1.4	PRJNA231221	SAMN10228563	FDAARGOS_583	GCA_003798285.1	FDAARGOS_583	NA	Not applicable	BEI < JB Bliska	Unknown	France	BEI Isolate	Not applicable	FDA:FDAARGOS_583	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	not collected	Phenotypic and Molecular Methods	NA
Yersinia pseudotuberculosis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex	633	ARGOS_000020	v1.4	PRJNA231221	SAMN10228563	FDAARGOS_583	GCA_003798285.1	FDAARGOS_583	NA	Not applicable	BEI < JB Bliska	Unknown	France	BEI Isolate	Not applicable	FDA:FDAARGOS_583	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	not collected	Phenotypic and Molecular Methods	NA
Yersinia pseudotuberculosis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex	633	ARGOS_000020	v1.4	PRJNA231221	SAMN10228560	FDAARGOS_580	GCA_003798445.1	FDAARGOS_580	NA	Not applicable	BEI < JB Bliska	Unknown	France	BEI Isolate	Not applicable	FDA:FDAARGOS_580	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	not collected	Phenotypic and Molecular Methods	NA
Yersinia pseudotuberculosis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex	633	ARGOS_000020	v1.4	PRJNA231221	SAMN10228560	FDAARGOS_580	GCA_003798445.1	FDAARGOS_580	NA	Not applicable	BEI < JB Bliska	Unknown	France	BEI Isolate	Not applicable	FDA:FDAARGOS_580	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	not collected	Phenotypic and Molecular Methods	NA
Yersinia pseudotuberculosis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex	633	ARGOS_000020	v1.4	PRJNA231221	SAMN10228560	FDAARGOS_580	GCA_003798445.1	FDAARGOS_580	NA	Not applicable	BEI < JB Bliska	Unknown	France	BEI Isolate	Not applicable	FDA:FDAARGOS_580	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	not collected	Phenotypic and Molecular Methods	NA
Yersinia pseudotuberculosis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex	633	ARGOS_000020	v1.4	PRJNA231221	SAMN10228561	FDAARGOS_581	GCA_003798425.1	FDAARGOS_581	NA	Not applicable	BEI < JB Bliska	Unknown	France	BEI Isolate	Not applicable	FDA:FDAARGOS_581	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	not collected	Phenotypic and Molecular Methods	NA
Yersinia pseudotuberculosis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex	633	ARGOS_000020	v1.4	PRJNA231221	SAMN10228561	FDAARGOS_581	GCA_003798425.1	FDAARGOS_581	NA	Not applicable	BEI < JB Bliska	Unknown	France	BEI Isolate	Not applicable	FDA:FDAARGOS_581	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	not collected	Phenotypic and Molecular Methods	NA
Yersinia pseudotuberculosis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex	633	ARGOS_000020	v1.4	PRJNA231221	SAMN10228561	FDAARGOS_581	GCA_003798425.1	FDAARGOS_581	NA	Not applicable	BEI < JB Bliska	Unknown	France	BEI Isolate	Not applicable	FDA:FDAARGOS_581	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	not collected	Phenotypic and Molecular Methods	NA
Yersinia pseudotuberculosis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex	633	ARGOS_000020	v1.4	PRJNA231221	SAMN10228562	FDAARGOS_582	GCA_003798405.1	FDAARGOS_582	NA	Not applicable	BEI < JB Bliska	Unknown	France	BEI Isolate	Not applicable	FDA:FDAARGOS_582	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	not collected	Phenotypic and Molecular Methods	NA
Yersinia pseudotuberculosis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex	633	ARGOS_000020	v1.4	PRJNA231221	SAMN10228562	FDAARGOS_582	GCA_003798405.1	FDAARGOS_582	NA	Not applicable	BEI < JB Bliska	Unknown	France	BEI Isolate	Not applicable	FDA:FDAARGOS_582	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	not collected	Phenotypic and Molecular Methods	NA
Yersinia pseudotuberculosis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex	633	ARGOS_000020	v1.4	PRJNA231221	SAMN10228562	FDAARGOS_582	GCA_003798405.1	FDAARGOS_582	NA	Not applicable	BEI < JB Bliska	Unknown	France	BEI Isolate	Not applicable	FDA:FDAARGOS_582	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	not collected	Phenotypic and Molecular Methods	NA
Yersinia pseudotuberculosis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex	633	ARGOS_000020	v1.4	PRJNA231221	SAMN10228564	FDAARGOS_584	GCA_003798385.1	FDAARGOS_584	NA	Not applicable	BEI < JB Bliska	Unknown	Unknown	BEI Isolate	Not applicable	FDA:FDAARGOS_584	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	not collected	Phenotypic and Molecular Methods	NA
Yersinia pseudotuberculosis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex	633	ARGOS_000020	v1.4	PRJNA231221	SAMN10228564	FDAARGOS_584	GCA_003798385.1	FDAARGOS_584	NA	Not applicable	BEI < JB Bliska	Unknown	Unknown	BEI Isolate	Not applicable	FDA:FDAARGOS_584	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	not collected	Phenotypic and Molecular Methods	NA
Yersinia pseudotuberculosis	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia; Yersinia pseudotuberculosis complex	633	ARGOS_000020	v1.4	PRJNA231221	SAMN10228564	FDAARGOS_584	GCA_003798385.1	FDAARGOS_584	NA	Not applicable	BEI < JB Bliska	Unknown	Unknown	BEI Isolate	Not applicable	FDA:FDAARGOS_584	Homo sapiens	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	not collected	Phenotypic and Molecular Methods	NA
