organism_name	infraspecific_name	lineage	genome_assembly_id	taxonomy_id	sra_run_id	bco_id	schema_version	analysis_platform	analysis_platform_object_id	bioproject	biosample	strain	ngs_read_file_name	ngs_read_file_source	ngs_gc_content	n_content	avg_phred_score	avg_read_length	max_read_length	min_read_length	num_reads_unique	pos_outlier_count	codon_table	percent_coding	percent_not_coding	density_n_per_read	complexity_percent	non_complex_percent	avg_quality_a	avg_quality_t	avg_quality_g	avg_quality_c	count_a	count_t	count_g	count_c	count_n	instrument	id_method	wgs_accession	strategy	ngs_score
Mycobacterium tuberculosis	strain Indo-Oceanic T17X	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Corynebacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex	NA	1773	SRR9176753	ARGOS_000009	v1.4	PACBIO_SMRT	PL100090566-2_RS42150_20170808_D01-1_experiment	PRJNA231221	SRS4860426	FDAARGOS_751	SRR9176753	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9176753/SRR9176753	62.04	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.24E+08	3.27E+08	5.65E+08	4.99E+08	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Achromobacter denitrificans	DSM 11850	cellular organisms; Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	NA	32002	SRR9668044	ARGOS_000009	v1.4	PACBIO_SMRT	PL100100217-1_RS42150_20180420_D01-1_experiment	PRJNA231221	SRS5083869	FDAARGOS_787	SRR9668044	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9668044/SRR9668044	59.5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	74685042	92050212	1.28E+08	1.17E+08	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Zika virus	ZIKV	Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	NA	64320	SRR9107814	ARGOS_000009	v1.4	ILLUMINA	IL100100214_M00708_20180406_L1_experiment	PRJNA231221	SRS4804994	FDAARGOS_840	SRR9107814	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9107814/SRR9107814	43.63	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	95083325	88882648	71680241	70695578	0	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Pasteurella multocida	ATCC 11039; X-73	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Pasteurella	NA	747	SRR4272565	ARGOS_000009	v1.4	PACBIO_SMRT	PL100049552-1_RS42150_20150113_H03-1_experiment	PRJNA231221	SRS1704492	FDAARGOS_216	SRR4272565	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR4272565/SRR4272565	41.59	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.69E+08	3.39E+08	2.44E+08	2.60E+08	0	PACBIO_SMRT	Phenotypic identification	NA	WGS	NA
Klebsiella pneumoniae	PEI-B-P-08	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella/Raoultella group; Klebsiella	NA	573	SRR12931584	ARGOS_000009	v1.4	ILLUMINA	IL100137968_K00134_20190830_L6_experiment	PRJNA231221	SRS7614661	FDAARGOS_1076	SRR12931584	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12931584/SRR12931584	56.56	0.007028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.07E+08	7.03E+08	9.18E+08	9.17E+08	228057	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Streptococcus sp. FDAARGOS_520		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; unclassified Streptococcus	NA	2420308	SRR8179985	ARGOS_000009	v1.4	PACBIO_SMRT	PL100072430-1_RS42150_20160819_D01-1_experiment	PRJNA231221	SRS4034827	FDAARGOS_520	SRR8179985	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8179985/SRR8179985	37.98	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	36653264	45744527	23563693	26892353	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Staphylococcus aureus	NRS1	cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	NA	1280	SRR1955868	ARGOS_000009	v1.4	PACBIO_SMRT	PL100039730-1_RS42150_20140204_F01-1_experiment	PRJNA231221	SRS896168	FDAARGOS_40	SRR1955868	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1955868/SRR1955868	45.16	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.11E+08	1.82E+08	1.45E+08	1.79E+08	0	PACBIO_SMRT	phenotypic identification	NA	WGS	NA
Enterococcus hirae	clinical isolate	cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus	NA	1354	SRR4416521	ARGOS_000009	v1.4	ILLUMINA	IL100059408_K00134_20150612_L8_experiment	PRJNA231221	SRS1665862	FDAARGOS_234	SRR4416521	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR4416521/SRR4416521	36.86	0.062421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.99E+08	9.95E+08	5.86E+08	5.79E+08	1972939	ILLUMINA	Phenotypic identification	NA	WGS	NA
Pseudomonas aeruginosa		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group	NA	287	SRR8180475	ARGOS_000009	v1.4	PACBIO_SMRT	PL100072447-1_RS42150_20160930_D02-1_experiment	PRJNA231221	SRS4035296	FDAARGOS_532	SRR8180475	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8180475/SRR8180475	64.97	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.00E+08	2.96E+08	5.86E+08	7.05E+08	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Burkholderia vietnamiensis	DSM 11737	cellular organisms; Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Burkholderia; Burkholderia cepacia complex	NA	60552	SRR16259284	ARGOS_000009	v1.4	PACBIO_SMRT	PL100169579-1_S54024R1_20210608_D01_bc1010-bc1010_experiment	PRJNA231221	SRS10498300	FDAARGOS_1517	SRR16259284	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR16259284/SRR16259284	62.74	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.92E+08	2.03E+08	3.29E+08	3.35E+08	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Enterobacter roggenkampii		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex	NA	1812935	SRR8180307	ARGOS_000009	v1.4	PACBIO_SMRT	PL100072434-2_RS42150_20160930_H01-1_experiment	PRJNA231221	SRS4035143	FDAARGOS_523	SRR8180307	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8180307/SRR8180307	54.46	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.93E+08	6.59E+08	8.30E+08	7.87E+08	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Staphylococcus epidermidis		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	NA	1282	SRR8180461	ARGOS_000009	v1.4	ILLUMINA	IL100073651_K00134_20160826_L5_experiment	PRJNA231221	SRS4035290	FDAARGOS_529	SRR8180461	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8180461/SRR8180461	31.91	0.016569	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.86E+08	7.84E+08	3.67E+08	3.69E+08	382080	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Acinetobacter johnsonii	DSM 6963	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter	NA	40214	SRR12045484	ARGOS_000009	v1.4	PACBIO_SMRT	PL100106700-1_RS42150_20181018_H01-1_experiment	PRJNA231221	SRS6866163	FDAARGOS_910	SRR12045484	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12045484/SRR12045484	41.2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.53E+08	7.37E+08	5.61E+08	4.84E+08	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Acinetobacter lwoffii	DSM 101862	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter	NA	28090	SRR15070498	ARGOS_000009	v1.4	PACBIO_SMRT	PL100156810-1_S64018_20200603_C01_bc1015-bc1015_experiment	PRJNA231221	SRS9425364	FDAARGOS 1394	SRR15070498	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR15070498/SRR15070498	41.96	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.05E+09	6.51E+09	4.70E+09	5.10E+09	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Pediococcus pentosaceus	DSM 20333	cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Lactobacillaceae; Pediococcus	NA	1255	SRR12047293	ARGOS_000009	v1.4	ILLUMINA	IL100114085_K00134_20181212_L8_experiment	PRJNA231221	SRS6867786	FDAARGOS_873	SRR12047293	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12047293/SRR12047293	37.11	0.013722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.48E+08	8.47E+08	5.01E+08	5.00E+08	369981	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Sphingobacterium multivorum	DSM 11689	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Sphingobacteriia; Sphingobacteriales; Sphingobacteriaceae; Sphingobacterium	NA	28454	SRR12938577	ARGOS_000009	v1.4	PACBIO_SMRT	PL100132636-1_S54024R1_20191219_B01_experiment	PRJNA231221	SRS7620161	FDAARGOS_1141	SRR12938577	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12938577/SRR12938577	40.62	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.15E+08	5.56E+08	3.69E+08	3.64E+08	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Salmonella enterica	ATCC 700720;LT2	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	NA	28901	SRR2814419	ARGOS_000009	v1.4	ILLUMINA	IL100047829_SN7001163_20140926_L8_experiment	PRJNA231221	SRS1133148	FDAARGOS_94	SRR2814419	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR2814419/SRR2814419	52.55	0.002919	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.25E+08	1.23E+08	1.38E+08	1.37E+08	15236	ILLUMINA	culture	NA	WGS	NA
Zika virus	ZIKV	Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	NA	64320	SRR11471910	ARGOS_000009	v1.4	ILLUMINA	IL100121561_M01994_20190329_L1_experiment	PRJNA231221	SRS6419600	FDAARGOS_974	SRR11471910	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR11471910/SRR11471910	50.32	3.79E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27663134	28779789	27966330	29194313	43	ILLUMINA	Phenotypic and Molecular Methods	NA	AMPLICON	NA
Hafnia paralvei	DSM 24119	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Hafniaceae; Hafnia	NA	546367	SRR16251419	ARGOS_000009	v1.4	PACBIO_SMRT	PL100164170-1_S54024R1_20210519_D01_bc1003-bc1003_experiment	PRJNA231221	SRS10490081	FDAARGOS_1502	SRR16251419	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR16251419/SRR16251419	47.95	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.21E+08	4.50E+08	3.97E+08	4.06E+08	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Staphylococcus aureus		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	NA	1280	SRR8179211	ARGOS_000009	v1.4	PACBIO_SMRT	PL100073047-1_RS42150_20170120_B02-1_experiment	PRJNA231221	SRS4034150	FDAARGOS_572	SRR8179211	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8179211/SRR8179211	36.11	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.23E+08	3.24E+08	2.15E+08	1.50E+08	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Stenotrophomonas maltophilia	clinical isolate	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Stenotrophomonas maltophilia group	NA	40324	SRR2814182	ARGOS_000009	v1.4	ILLUMINA	IL100043735_SN180_20140313_L8_experiment	PRJNA231221	SRS1133134	FDAARGOS_92	SRR2814182	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR2814182/SRR2814182	66.01	0.057266	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.75E+08	1.73E+08	3.38E+08	3.38E+08	586323	ILLUMINA	phenotypic identification	NA	WGS	NA
Clostridium sporogenes	DSM 1664	cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	NA	1509	SRR16259737	ARGOS_000009	v1.4	ILLUMINA	IL100186123_A00904_20210610_L1_experiment	PRJNA231221	SRS10498366	FDAARGOS_1470	SRR16259737	https://storage.googleapis.com/nih-sequence-read-arc/run/SRR16259737/SRR16259737	29.17	0.000508	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.14E+09	1.14E+09	4.72E+08	4.68E+08	16349	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Campylobacter upsaliensis		cellular organisms; Bacteria; Pseudomonadota; delta/epsilon subdivisions; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter	NA	28080	SRR9176579	ARGOS_000009	v1.4	ILLUMINA	IL100091432_K00134_20170822_L3_experiment	PRJNA231221	SRS4860278	FDAARGOS_736	SRR9176579	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9176579/SRR9176579	34.78	0.019321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.12E+08	8.13E+08	4.33E+08	4.33E+08	481518	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Enterococcus faecium	clinical isolate	cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus	NA	1352	SRR5419936	ARGOS_000009	v1.4	PACBIO_SMRT	PL100057746-1_RS42150_20150724_H02-1_experiment	PRJNA231221	SRS2103200	FDAARGOS_332	SRR5419936	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR5419936/SRR5419936	38.27	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.27E+08	3.05E+08	1.93E+08	1.99E+08	0	PACBIO_SMRT	Phenotypic identification	NA	WGS	NA
Vibrio alginolyticus	ATCC 35084	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Vibrio harveyi group	NA	663	SRR2814828	ARGOS_000009	v1.4	ILLUMINA	IL100045940_SN7001163_20140801_L6_experiment	PRJNA231221	SRS1133499	FDAARGOS_99	SRR2814828	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR2814828/SRR2814828	44.77	0.02303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.95E+08	3.92E+08	3.19E+08	3.19E+08	328402	ILLUMINA	16S and MLST	NA	WGS	NA
Streptococcus dysgalactiae	DSM 23147	cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus dysgalactiae group	NA	1334	SRR12825903	ARGOS_000009	v1.4	ILLUMINA	IL100116847_K00134_20190228_L4_experiment	PRJNA231221	SRS7519899	FDAARGOS_1016	SRR12825903	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12825903/SRR12825903	39.55	0.011902	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.70E+08	7.72E+08	5.04E+08	5.05E+08	303558	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Leclercia adecarboxylata	DSM 5077	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Leclercia	NA	83655	SRR16251425	ARGOS_000009	v1.4	PACBIO_SMRT	PL100164173-1_S54024R1_20210519_D01_bc1010-bc1010_experiment	PRJNA231221	SRS10490084	FDAARGOS_1505	SRR16251425	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-34/SRR016/16251/SRR16251425/SRR16251425.1	54.59	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.89E+08	5.22E+08	6.01E+08	6.14E+08	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Escherichia coli	P301F001 #2	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	NA	562	SRR15076566	ARGOS_000009	v1.4	PACBIO_SMRT	PL100146157-1_S54024R1_20200519_C01_bc1016-bc1016_experiment	PRJNA231221	SRS9431223	FDAARGOS_1391	SRR15076566	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR15076566/SRR15076566	49.94	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.52E+08	5.94E+08	5.66E+08	5.78E+08	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Bartonella henselae str. Houston-1	ATCC 49882D-5; Houston-1	cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Bartonellaceae; Bartonella; Bartonella henselae	NA	283166	SRR2823712	ARGOS_000009	v1.4	ILLUMINA	IL100049840_SN180_20141031_L6_experiment	PRJNA231221	SRS1135279	FDAARGOS_175	SRR2823712	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR2823712/SRR2823712	37.71	0.008242	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.21E+08	4.18E+08	2.54E+08	2.54E+08	111043	ILLUMINA	culture, 16S	NA	WGS	NA
Staphylococcus capitis	clinical isolate	cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	NA	29388	SRR2823706	ARGOS_000009	v1.4	ILLUMINA	IL100047841_SN7001163_20140926_L8_experiment	PRJNA231221	SRS1135277	FDAARGOS_173	SRR2823706	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR2823706/SRR2823706	35	0.003007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.79E+08	4.73E+08	2.58E+08	2.55E+08	44020	ILLUMINA	phenotypic identification	NA	WGS	NA
Chryseobacterium indologenes	clinical isolate	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Flavobacteriia; Flavobacteriales; Weeksellaceae; Chryseobacterium group; Chryseobacterium	NA	253	SRR5871781	ARGOS_000009	v1.4	ILLUMINA	IL100063501_K00134_20151118_L8_experiment	PRJNA231221	SRS2387739	FDAARGOS_379	SRR5871781	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR5871781/SRR5871781	37.19	0.009398	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.73E+08	5.70E+08	3.38E+08	3.39E+08	171091	ILLUMINA	Phenotypic characterization	NA	WGS	NA
Bordetella pertussis	ATCC BAA-589D-5; Tohama 1	cellular organisms; Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Bordetella	NA	520	SRR4271508	ARGOS_000009	v1.4	PACBIO_SMRT	PL100048433-1_RS42150_20141020_D01-1_experiment	PRJNA231221	SRS1704335	FDAARGOS_195	SRR4271508	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR4271508/SRR4271508	63.19	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.96E+08	1.81E+08	3.22E+08	3.25E+08	0	PACBIO_SMRT	Phenotypic identification	NA	WGS	NA
Proteus vulgaris	DSM 46228	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Morganellaceae; Proteus	NA	585	SRR16251431	ARGOS_000009	v1.4	PACBIO_SMRT	PL100164176-1_S54024R1_20210519_C01_bc1015-bc1015_experiment	PRJNA231221	SRS10490087	FDAARGOS_1507	SRR16251431	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR16251431/SRR16251431	38.74	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.28E+08	3.45E+08	2.13E+08	2.13E+08	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Nocardia gipuzkoensis		cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Corynebacteriales; Nocardiaceae; Nocardia	NA	2749991	SRR17125747	ARGOS_000009	v1.4	PACBIO_SMRT	PL100198818-1_S64018_20211025_D01_bc1010-bc1010_experiment	PRJNA231221	SRS11219640	FDAARGOS_1619	SRR17125747	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR17125747/SRR17125747	65.27	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.82E+09	2.83E+09	5.24E+09	5.38E+09	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Enterococcus casseliflavus	DSM 20680	cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus	NA	37734	SRR12937491	ARGOS_000009	v1.4	ILLUMINA	IL100139230_K00134_20190912_L8_experiment	PRJNA231221	SRS7618957	FDAARGOS_1120	SRR12937491	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12937491/SRR12937491	42.89	0.005487	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.40E+08	5.40E+08	4.07E+08	4.05E+08	103782	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Escherichia coli	P701B101 #1	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	NA	562	SRR15076572	ARGOS_000009	v1.4	ILLUMINA	IL100148485_A00904_20200128_L1_experiment	PRJNA231221	SRS9431226	FDAARGOS_1378	SRR15076572	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR15076572/SRR15076572	50.34	0.000741	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.99E+08	8.89E+08	9.08E+08	9.05E+08	26671	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Corynebacterium kroppenstedtii	DSM 44799	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Corynebacteriales; Corynebacteriaceae; Corynebacterium	NA	161879	SRR13181260	ARGOS_000009	v1.4	PACBIO_SMRT	PL100132594A-1_S54024R1_20191118_C01_bc1002-bc1002_experiment	PRJNA231221	SRS7821519	FDAARGOS_1193	SRR13181260	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13181260/SRR13181260	55.03	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.60E+08	6.00E+08	7.04E+08	7.16E+08	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Staphylococcus pettenkoferi	DSM 19554	cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	NA	170573	SRR12826205	ARGOS_000009	v1.4	ILLUMINA	IL100133861_K00134_20190729_L5_experiment	PRJNA231221	SRS7520169	FDAARGOS_1071	SRR12826205	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12826205/SRR12826205	38.1	0.024258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.85E+08	5.85E+08	3.60E+08	3.60E+08	458796	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Salmonella enterica subsp. enterica serovar Heidelberg	Culture Collection SGSC:2215; SARA35	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica; Salmonella enterica subsp. enterica	NA	611	SRR1950247	ARGOS_000009	v1.4	ILLUMINA	IL100042689_SN7001163_20140228_L4_experiment	PRJNA231221	SRS891668	FDAARGOS_54	SRR1950247	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1950247/SRR1950247	50.79	0.02372	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.15E+08	1.14E+08	1.18E+08	1.18E+08	110156	ILLUMINA	phenotypic identification	NA	WGS	NA
Shigella flexneri	clinical isolate	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Shigella	NA	623	SRR1609071	ARGOS_000009	v1.4	PACBIO_SMRT	PL100041282B-1_RS42150_20140417_B03-1_experiment	PRJNA231221	SRS719067	FDAARGOS_74	SRR1609071	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1609071/SRR1609071	51.58	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.76E+08	4.94E+08	5.29E+08	6.11E+08	0	PACBIO_SMRT	phenotypic identification	NA	WGS	NA
